;;;PT. Dream Dare Discover;;;;;;;;;;
;;;Kuantitas Barang per Gudang;;;;;;;;;;
;;;Per Tgl. 19 Jan 2026;;;;;;;;;;
;;;"Cabang : Kantor Pusat, BALI AREA, Baby, Jakarta, Jawa Timur, Lombok, NTT, Online, Sulawesi, Sumatera, Gudang : Warehouse Bali ...";;;;;;;;;;
Nama Barang;;Kode Barang;;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protol;Warehouse Bali Gatsu Reject;Warehouse Pluit;Warehouse Pluit Reject;Warehouse Pusat;Warehouse Pusat Protol;Warehouse Pusat Reject;;Total Nama Gudang
"BABY BOYS COLLAB 3, 25, DISNEY MICKEY & FRIENDS BROWN";;BB1CL03Z25;;0;0;0;0;0;0;1;0;;1
;;Z1MF03Z25;;0;0;0;0;0;0;0;0;;0
"BABY BOYS COLLAB 3, 25/26, DISNEY MICKEY & FRIENDS BROWN";;Z2MF03Z26;;51;0;0;27;0;121;12;0;;211
"BABY BOYS TOY STORY 1, 21/22, BROWN";;Z2TS01Z22;;12;0;0;36;0;124;1;2;;175
"BABY BOYS TOY STORY 1, 23/24, BROWN";;Z2TS01Z24;;15;0;0;45;0;155;2;6;;223
"BABY BOYS TOY STORY 1, 25/26, BROWN";;Z2TS01Z26;;9;1;0;27;0;93;0;1;;131
"BABY BOYS TOY STORY 2, 21/22, BLUE";;Z2TS02Z22;;0;0;0;0;0;0;4;3;;7
"BABY BOYS TOY STORY 2, 23/24, BLUE";;Z2TS02Z24;;0;0;0;0;1;0;3;3;;7
"BABY BOYS TOY STORY 2, 25/26, BLUE";;Z2TS02Z26;;0;0;0;0;0;0;0;0;;0
"BABY BOYS TOY STORY 3, 21/22, GREEN";;Z2TS03Z22;;72;0;0;81;0;-138;51;3;;69
"BABY BOYS TOY STORY 3, 23/24, GREEN";;Z2TS03Z24;;90;0;0;70;0;-172;56;1;;45
"BABY BOYS TOY STORY 3, 25/26, GREEN";;Z2TS03Z26;;54;1;0;24;0;-102;4;0;;-19
"BABY CLASSIC 4, 21/22, NAVY";;Z2CA04Z22;;0;0;1;0;0;0;2;0;;3
;;Z2CAV104Z22;;0;0;0;6;0;-8;52;1;;51
"BABY CLASSIC 4, 23/24, NAVY";;Z2CA04Z24;;0;1;0;0;0;0;3;0;;4
;;Z2CAV104Z24;;0;0;0;5;0;-10;68;1;;64
"BABY CLASSIC 4, 25/26, NAVY";;Z2CA04Z26;;0;0;0;0;0;0;1;0;;1
;;Z2CAV104Z26;;0;1;0;3;0;-6;23;0;;21
"BABY CLASSIC 5, 21/22, COFFEE";;Z2CA05Z22;;0;1;0;15;0;0;11;1;;28
;;Z2CAV105Z22;;132;0;0;48;0;440;27;0;;647
"BABY CLASSIC 5, 23/24, COFFEE";;Z2CA05Z24;;0;0;0;12;0;0;4;0;;16
;;Z2CAV105Z24;;165;0;1;63;0;550;31;1;;811
"BABY CLASSIC 5, 25/26, COFFEE";;Z2CA05Z26;;0;0;0;0;0;0;1;0;;1
;;Z2CAV105Z26;;99;1;0;32;0;330;18;0;;480
"BABY CLASSIC 6, 21/22, GREY";;Z2CA06Z22;;0;6;0;3;0;0;1;4;;14
;;Z2CAV106Z22;;0;0;0;0;0;-4;37;0;;33
"BABY CLASSIC 6, 23/24, GREY";;Z2CA06Z24;;0;5;1;8;0;0;2;0;;16
;;Z2CAV106Z24;;0;0;0;0;0;-5;44;1;;40
"BABY CLASSIC 6, 25/26, GREY";;Z2CA06Z26;;0;1;0;0;0;0;0;0;;1
;;Z2CAV106Z26;;0;0;0;0;0;-3;21;1;;19
"BABY CLASSIC 7, 21/22, HONEY GINGER";;Z2CA07Z22;;0;0;0;3;0;0;0;0;;3
;;Z2CAV107Z22;;0;0;0;20;0;0;25;2;;47
"BABY CLASSIC 7, 23/24, HONEY GINGER";;Z2CA07Z24;;0;0;0;4;0;0;0;0;;4
;;Z2CAV107Z24;;0;0;0;21;0;0;37;0;;58
"BABY CLASSIC 7, 25/26, HONEY GINGER";;Z2CA07Z26;;0;0;0;0;0;0;0;0;;0
;;Z2CAV107Z26;;0;0;0;12;0;0;11;0;;23
"BABY CLASSIC 8, 21/22, NUDE";;Z2CA08Z22;;0;3;0;0;0;0;5;0;;8
;;Z2CAV108Z22;;0;0;0;24;0;0;15;0;;39
"BABY CLASSIC 8, 23/24, NUDE";;Z2CA08Z24;;0;9;0;8;0;0;8;0;;25
;;Z2CAV108Z24;;0;0;0;30;0;0;23;1;;54
"BABY CLASSIC 8, 25/26, NUDE";;Z2CA08Z26;;0;0;0;2;0;0;2;0;;4
;;Z2CAV108Z26;;0;0;0;15;0;0;11;0;;26
"BABY CLASSIC 9, 21/22, SAGE";;Z2CA09Z22;;0;2;0;18;0;0;13;1;;34
;;Z2CAV109Z22;;44;5;0;39;0;372;13;0;;473
"BABY CLASSIC 9, 23/24, SAGE";;Z2CA09Z24;;0;9;0;25;0;0;8;4;;46
;;Z2CAV109Z24;;55;18;0;55;0;465;11;1;;605
"BABY CLASSIC 9, 25/26, SAGE";;Z2CA09Z26;;0;0;0;0;0;0;0;1;;1
;;Z2CAV109Z26;;33;1;0;34;0;279;1;0;;348
"BABY COCOMELON 1, 21/22, PINK";;Z2CM01Z22;;0;0;0;5;0;0;22;2;;29
"BABY COCOMELON 1, 23/24, PINK";;Z2CM01Z24;;0;0;0;10;0;0;28;3;;41
"BABY COCOMELON 1, 25/26, PINK";;Z2CM01Z26;;0;0;0;-10;0;0;2;0;;-8
"BABY COCOMELON 2, 21/22, RED GREEN";;Z2CM02Z22;;0;0;0;18;0;4;12;4;;38
"BABY COCOMELON 2, 23/24, RED GREEN";;Z2CM02Z24;;0;0;0;19;0;5;14;4;;42
"BABY COCOMELON 2, 25/26, RED GREEN";;Z2CM02Z26;;0;0;0;9;0;3;3;0;;15
