;;;PT. Dream Dare Discover;;;;;;;;;;
;;;Kuantitas Barang per Gudang;;;;;;;;;;
;;;Per Tgl. 19 Jan 2026;;;;;;;;;;
;;;"Cabang : Kantor Pusat, BALI AREA, Baby, Jakarta, Jawa Timur, Lombok, NTT, Online, Sulawesi, Sumatera, Gudang : Warehouse Bali ...";;;;;;;;;;
Nama Barang;;Kode Barang;;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protol;Warehouse Bali Gatsu Reject;Warehouse Pluit;Warehouse Pluit Reject;Warehouse Pusat;Warehouse Pusat Protol;Warehouse Pusat Reject;;Total Nama Gudang
;;L2AZ38CA27;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC 27, 39  BLACK PINK";;L2AZ39CA27;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 27, 39, BLACK PINK";;L1CA27Z39;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 27, 40, BLACK PINK";;L1CA27Z40;;0;0;0;0;0;0;0;0;;0
;;L2AZ40CA27;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 27, 41, BLACK PINK";;L1CA27Z41;;0;0;0;0;0;0;0;0;;0
;;L2AZ41CA27;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 28, 36, BALLET ROSE";;L1CA28Z36;;0;0;0;1;0;0;0;2;;3
;;L2AZ36CA28;;0;0;0;0;0;0;0;4;;4
"LADIES CLASSIC 28, 37, BALLET ROSE";;L1CA28Z37;;0;0;0;4;0;0;0;10;;14
;;L2AZ37CA28;;0;0;0;0;0;0;0;9;;9
"LADIES CLASSIC 28, 38, BALLET ROSE";;L1CA28Z38;;0;0;0;2;0;0;0;13;;15
;;L2AZ38CA28;;0;0;0;6;0;0;0;20;;26
"LADIES CLASSIC 28, 39  BALLET ROSE";;L2AZ39CA28;;0;0;0;4;0;0;0;4;;8
"LADIES CLASSIC 28, 39, BALLET ROSE";;L1CA28Z39;;0;0;0;6;0;0;3;10;;19
"LADIES CLASSIC 28, 40, BALLET ROSE";;L1CA28Z40;;0;0;0;3;0;0;0;8;;11
"LADIES CLASSIC 28, 40,BALLET ROSE";;L2AZ40CA28;;0;0;0;0;0;0;0;2;;2
"LADIES CLASSIC 28, 41, BALLET ROSE";;L1CA28Z41;;0;0;0;2;-1;0;0;5;;6
"LADIES CLASSIC 28, 41,BALLET ROSE";;L2AZ41CA28;;0;0;0;1;1;0;0;2;;4
"LADIES CLASSIC 29 36, NAVY HOTPINK";;L1CA29Z36;;0;0;0;0;0;0;0;0;;0
;;L2AZ36CA29;;0;0;0;0;0;0;0;0;;0
;;L3CA29Z36;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29 37, NAVY HOTPINK";;L1CA29Z37;;0;0;0;0;0;0;0;0;;0
;;L3CA29Z37;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29 38, NAVY HOTPINK";;L1CA29Z38;;0;0;0;0;0;0;0;0;;0
;;L3CA29Z38;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29 39, NAVY HOTPINK";;L1CA29Z39;;0;0;0;3;0;0;0;0;;3
;;L3CA29Z39;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29 40, NAVY HOTPINK";;L1CA29Z40;;0;0;0;1;0;0;0;0;;1
;;L3CA29Z40;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29 41, NAVY HOTPINK";;L1CA29Z41;;0;0;0;0;0;0;0;0;;0
;;L3CA29Z41;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29, 36, NAVY HOTPINK";;L1CAV129Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV229Z36;;56;0;0;2;0;0;0;0;;58
"LADIES CLASSIC 29, 37, NAVY HOTPINK";;L1CAV129Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV229Z37;;56;0;0;2;0;0;0;0;;58
;;L2AZ37CA29;;0;0;0;4;0;0;0;0;;4
"LADIES CLASSIC 29, 38, NAVY HOTPINK";;L1CAV129Z38;;0;0;0;2;0;0;0;0;;2
;;L1CAV229Z38;;168;24;0;11;0;0;0;0;;203
;;L2AZ38CA29;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29, 39  NAVY HOTPINK";;L2AZ39CA29;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29, 39, NAVY HOTPINK";;L1CAV129Z39;;0;0;0;1;0;0;0;0;;1
;;L1CAV229Z39;;224;81;0;13;0;0;0;2;;320
"LADIES CLASSIC 29, 40, NAVY HOTPINK";;L1CAV129Z40;;0;0;0;0;0;0;0;0;;0
;;L1CAV229Z40;;112;0;0;6;0;0;0;2;;120
"LADIES CLASSIC 29, 40,NAVY HOTPINK";;L2AZ40CA29;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 29, 41, NAVY HOTPINK";;L1CAV129Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV229Z41;;56;0;0;4;0;0;0;0;;60
"LADIES CLASSIC 29, 41,NAVY HOTPINK";;L2AZ41CA29;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 3, 35/36, GOAT";;SJ2A02CA3;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 3, 39/40, GOAT";;SJ2A04CA3;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 36, BLEACH SAND";;L2AZ36CA30;;0;0;0;0;0;0;0;0;;0
;;L3CA30Z36;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 37, BLEACH SAND";;L2AZ37CA30;;0;0;0;0;0;0;0;11;;11
;;L3CA30Z37;;0;0;0;0;0;0;0;4;;4
"LADIES CLASSIC 30, 38, BLEACH SAND";;L3CA30Z38;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 38,BLEACH SAND";;L2AZ38CA30;;0;0;0;0;0;0;0;11;;11
"LADIES CLASSIC 30, 39  BLEACH SAND";;L2AZ39CA30;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 39, BLEACH SAND";;L3CA30Z39;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 40, BLEACH SAND";;L3CA30Z40;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 40,BLEACH SAND";;L2AZ40CA30;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 41, BLEACH SAND";;L3CA30Z41;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 30, 41,BLEACH SAND";;L2AZ41CA30;;0;0;0;0;-1;0;0;2;;1
"LADIES CLASSIC 32, 36, BLACK STONE";;L1CA32Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV132Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV232Z36;;37;0;0;2;0;40;0;0;;79
"LADIES CLASSIC 32, 37, BLACK STONE";;L1CA32Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV132Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV232Z37;;37;0;0;1;0;40;0;0;;78
"LADIES CLASSIC 32, 38, BLACK STONE";;L1CA32Z38;;0;0;0;2;0;0;0;0;;2
;;L1CAV132Z38;;0;0;0;0;0;0;0;0;;0
;;L1CAV232Z38;;111;0;0;6;0;120;0;0;;237
"LADIES CLASSIC 32, 39, BLACK STONE";;L1CA32Z39;;0;0;0;5;0;0;1;0;;6
;;L1CAV132Z39;;0;0;0;0;0;0;2;0;;2
;;L1CAV232Z39;;148;18;0;8;0;160;0;0;;334
"LADIES CLASSIC 32, 40, BLACK STONE";;L1CA32Z40;;0;0;0;2;0;0;0;1;;3
;;L1CAV132Z40;;0;0;0;0;0;0;0;0;;0
;;L1CAV232Z40;;74;0;0;4;0;80;0;0;;158
"LADIES CLASSIC 32, 41, BLACK STONE";;L1CA32Z41;;0;0;0;1;0;0;0;0;;1
;;L1CAV132Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV232Z41;;37;0;0;2;0;40;0;0;;79
"LADIES CLASSIC 37, 36, NUDE";;L1CA37Z36;;0;0;0;1;0;0;0;0;;1
;;L1CAV137Z36;;0;0;0;0;0;0;0;1;;1
;;L1CAV237Z36;;37;0;0;5;0;173;1;1;;217
"LADIES CLASSIC 37, 37, NUDE";;L1CA37Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV137Z37;;0;0;0;0;0;0;1;0;;1
;;L1CAV237Z37;;37;0;0;5;0;173;2;0;;217
"LADIES CLASSIC 37, 38, NUDE";;L1CA37Z38;;0;0;0;4;0;0;1;0;;5
;;L1CAV137Z38;;0;0;0;0;0;0;1;0;;1
;;L1CAV237Z38;;111;2;5;15;0;519;17;1;;670
"LADIES CLASSIC 37, 39, NUDE";;L1CA37Z39;;0;0;0;10;0;0;0;1;;11
;;L1CAV137Z39;;0;0;0;0;0;0;2;7;;9
;;L1CAV237Z39;;148;20;12;20;0;692;19;3;;914
"LADIES CLASSIC 37, 40, NUDE";;L1CA37Z40;;0;0;0;7;0;0;0;0;;7
;;L1CAV137Z40;;0;0;0;0;0;0;4;0;;4
;;L1CAV237Z40;;111;0;6;15;0;519;13;0;;664
"LADIES CLASSIC 38, 36, SAGE";;L1CA38Z36;;0;0;0;1;0;0;0;0;;1
;;L1CAV138Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV238Z36;;74;0;0;5;0;70;0;0;;149
"LADIES CLASSIC 38, 37, SAGE";;L1CA38Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV138Z37;;0;0;0;0;0;0;1;0;;1
;;L1CAV238Z37;;74;0;0;5;0;69;1;0;;149
"LADIES CLASSIC 38, 38, SAGE";;L1CA38Z38;;0;0;0;2;0;0;3;0;;5
;;L1CAV138Z38;;0;0;0;0;0;0;1;0;;1
;;L1CAV238Z38;;222;0;0;15;0;210;0;0;;447
"LADIES CLASSIC 38, 39, SAGE";;L1CA38Z39;;0;0;0;3;0;0;4;2;;9
;;L1CAV138Z39;;0;0;0;2;0;0;7;2;;11
;;L1CAV238Z39;;296;0;0;20;0;280;0;0;;596
"LADIES CLASSIC 38, 40, SAGE";;L1CA38Z40;;0;0;0;2;0;0;4;1;;7
;;L1CAV138Z40;;0;0;0;0;0;0;6;0;;6
;;L1CAV238Z40;;222;0;0;15;0;210;0;0;;447
"LADIES CLASSIC 4, 35/36, TWILIGHT BLUE";;SJ2A02CA4;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 4, 37/38, TWILIGHT BLUE";;SJ2A03CA4;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 4, 39/40, TWILIGHT BLUE";;SJ2A04CA4;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 4, 41/42, TWILIGHT BLUE";;SJ2A05CA4;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 5, 37, BERRY";;SJ2A37CA5;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 5, 39/40, BERRY";;SJ2A04CA5;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 5, 41, BERRY";;SJ2A41CA5;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 5, 41/42, BERRY";;SJ2A05CA5;;0;0;0;0;0;0;0;2;;2
"LADIES CLASSIC 6, 37/38, FUSCHIA RED";;SJ2A03CA6;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC 6, 38, FUSCHIA RED";;SJ2A38CA6;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC 6, 39, FUSCHIA RED";;SJ2A39CA6;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC 6, 41, FUSCHIA RED";;SJ2A41CA6;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC 7, 36, GINGER SNAP";;L1CA07Z36;;0;0;0;1;0;0;0;2;;3
;;L2AZ36CA7;;0;0;0;21;0;0;0;7;;28
"LADIES CLASSIC 7, 37, GINGER SNAP";;L1CA07Z37;;0;0;0;3;0;0;1;0;;4
;;L2AZ37CA7;;0;0;0;15;0;0;1;0;;16
;;SJ2A37CA7;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 7, 37/38, GINGER SNAP";;SJ2A03CA7;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC 7, 38, GINGER SNAP";;L1CA07Z38;;0;0;0;3;0;0;1;9;;13
;;L2AZ38CA7;;0;0;0;53;0;0;8;1;;62
;;SJ2A38CA7;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 7, 39, GINGER SNAP";;L1CA07Z39;;0;0;0;3;0;0;0;2;;5
;;L2AZ39CA7;;0;0;0;17;0;0;7;1;;25
;;SJ2A39CA7;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 7, 39/40, GINGER SNAP";;SJ2A04CA7;;0;0;0;0;0;0;0;2;;2
"LADIES CLASSIC 7, 40, GINGER SNAP";;L1CA07Z40;;0;0;0;2;0;0;0;4;;6
;;L2AZ40CA7;;0;0;0;5;0;0;4;0;;9
;;SJ2A40CA7;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 7, 41, GINGER SNAP";;L1CA07Z41;;0;0;0;1;0;0;0;3;;4
;;L2AZ41CA7;;0;0;0;6;1;0;0;0;;7
;;SJ2A41CA7;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 7, 41/42, GINGER SNAP";;SJ2A05CA7;;0;0;0;0;0;0;0;2;;2
"LADIES CLASSIC 8, 37/38, BLEACHED SAND";;SJ2A03CA8;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 8, 39, BLEACHED SAND";;SJ2A39CA8;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 8, 39/40, BLEACHED SAND";;SJ2A04CA8;;0;0;0;0;0;0;0;4;;4
"LADIES CLASSIC 8, 41/42, BLEACHED SAND";;SJ2A05CA8;;0;0;0;0;0;0;0;4;;4
"LADIES CLASSIC 9, 37/38, CERAMIC";;SJ2A03CA9;;0;0;0;0;0;0;0;7;;7
"LADIES CLASSIC 9, 39/40, CERAMIC";;SJ2A04CA9;;0;0;0;0;0;0;0;22;;22
"LADIES CLASSIC 9, 40, CERAMIC";;SJ2A40CA9;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC 9, 41/42, CERAMIC";;SJ2A05CA9;;0;0;0;0;0;0;0;17;;17
"LADIES CLASSIC EARTH 31, 36, JADE";;L1CA31Z36;;0;0;0;0;0;0;0;1;;1
;;L1CAV131Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV231Z36;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC EARTH 31, 37, JADE";;L1CA31Z37;;0;0;0;0;0;0;0;1;;1
;;L1CAV131Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV231Z37;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC EARTH 31, 38, JADE";;L1CA31Z38;;0;0;0;4;0;0;3;7;;14
;;L1CAV131Z38;;0;0;0;0;0;0;0;0;;0
;;L1CAV231Z38;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC EARTH 31, 39, JADE";;L1CA31Z39;;0;0;0;1;0;0;4;7;;12
;;L1CAV131Z39;;0;0;0;0;0;0;0;0;;0
;;L1CAV231Z39;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC EARTH 31, 40, JADE";;L1CA31Z40;;0;0;0;3;0;0;0;1;;4
;;L1CAV131Z40;;0;0;0;0;0;0;0;0;;0
;;L1CAV231Z40;;0;0;0;0;0;0;0;1;;1
"LADIES CLASSIC EARTH 31, 41, JADE";;L1CA31Z41;;0;0;0;1;0;0;0;0;;1
;;L1CAV131Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV231Z41;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC EARTH 33, 36, ROSY BROWN";;L1CA33Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV133Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV233Z36;;0;0;0;2;0;0;0;0;;2
"LADIES CLASSIC EARTH 33, 37, ROSY BROWN";;L1CA33Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV133Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV233Z37;;0;0;0;2;0;0;0;0;;2
"LADIES CLASSIC EARTH 33, 38, ROSY BROWN";;L1CA33Z38;;0;0;0;8;0;0;0;3;;11
;;L1CAV133Z38;;0;0;0;0;0;0;1;1;;2
;;L1CAV233Z38;;0;0;0;6;0;0;0;1;;7
"LADIES CLASSIC EARTH 33, 39, ROSY BROWN";;L1CA33Z39;;0;0;0;9;0;0;4;3;;16
;;L1CAV133Z39;;0;0;0;0;0;0;0;0;;0
;;L1CAV233Z39;;0;0;4;8;0;0;1;0;;13
"LADIES CLASSIC EARTH 33, 40, ROSY BROWN";;L1CA33Z40;;0;0;0;4;0;0;1;0;;5
;;L1CAV133Z40;;0;0;0;0;0;0;0;0;;0
;;L1CAV233Z40;;0;0;0;4;0;0;0;0;;4
"LADIES CLASSIC EARTH 33, 41, ROSY BROWN";;L1CA33Z41;;0;0;0;2;0;0;0;1;;3
;;L1CAV133Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV233Z41;;0;0;0;2;0;0;0;0;;2
"LADIES CLASSIC EARTH 34, 36, ROSE";;L1CA34Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV134Z36;;0;0;0;0;0;0;0;1;;1
;;L1CAV234Z36;;0;0;0;2;0;0;0;0;;2
"LADIES CLASSIC EARTH 34, 37, ROSE";;L1CA34Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV134Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV234Z37;;0;0;0;2;0;0;0;0;;2
"LADIES CLASSIC EARTH 34, 38, ROSE";;L1CA34Z38;;0;0;0;0;0;0;0;6;;6
;;L1CAV134Z38;;0;0;0;0;0;0;0;1;;1
;;L1CAV234Z38;;0;0;0;6;0;0;9;1;;16
"LADIES CLASSIC EARTH 34, 39, ROSE";;L1CA34Z39;;0;0;0;4;0;0;3;6;;13
;;L1CAV134Z39;;0;0;0;0;0;0;0;5;;5
;;L1CAV234Z39;;0;0;0;8;0;0;21;1;;30
"LADIES CLASSIC EARTH 34, 40, ROSE";;L1CA34Z40;;0;0;0;1;0;0;0;1;;2
;;L1CAV134Z40;;0;0;0;0;0;0;0;1;;1
;;L1CAV234Z40;;0;0;0;4;0;0;0;2;;6
"LADIES CLASSIC EARTH 34, 41, ROSE";;L1CA34Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV134Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV234Z41;;0;0;0;2;0;0;0;0;;2
"LADIES CLASSIC EARTH 35, 36, MACCHIATO";;L1CA35Z36;;0;0;0;0;0;0;0;6;;6
;;L1CAV135Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV235Z36;;0;0;1;2;0;0;0;0;;3
"LADIES CLASSIC EARTH 35, 37, MACCHIATO";;L1CA35Z37;;0;0;0;0;0;0;0;3;;3
;;L1CAV135Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV235Z37;;0;0;1;3;0;0;0;2;;6
"LADIES CLASSIC EARTH 35, 38, MACCHIATO";;L1CA35Z38;;0;0;0;1;0;0;0;9;;10
;;L1CAV135Z38;;0;0;2;0;0;0;2;0;;4
;;L1CAV235Z38;;0;0;8;9;0;0;0;2;;19
"LADIES CLASSIC EARTH 35, 39, MACCHIATO";;L1CA35Z39;;0;0;0;3;0;0;4;19;;26
;;L1CAV135Z39;;0;0;0;0;0;0;1;0;;1
;;L1CAV235Z39;;0;0;13;11;0;0;0;1;;25
"LADIES CLASSIC EARTH 35, 40, MACCHIATO";;L1CA35Z40;;0;0;0;2;0;0;2;11;;15
;;L1CAV135Z40;;0;0;0;0;0;0;0;0;;0
;;L1CAV235Z40;;0;0;4;6;0;0;1;0;;11
"LADIES CLASSIC EARTH 35, 41, MACCHIATO";;L1CA35Z41;;0;0;0;0;0;0;0;6;;6
;;L1CAV135Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV235Z41;;0;0;0;3;0;0;0;0;;3
"LADIES CLASSIC EARTH 36, 36, OCHRE";;L1CA36Z36;;0;0;0;0;0;0;0;1;;1
;;L1CAV136Z36;;0;0;0;0;0;0;0;0;;0
;;L1CAV236Z36;;33;0;0;6;0;9;0;0;;48
"LADIES CLASSIC EARTH 36, 37, OCHRE";;L1CA36Z37;;0;0;0;0;0;0;0;1;;1
;;L1CAV136Z37;;0;0;0;0;0;0;0;0;;0
;;L1CAV236Z37;;33;0;0;6;0;9;0;0;;48
"LADIES CLASSIC EARTH 36, 38, OCHRE";;L1CA36Z38;;0;0;0;0;0;0;0;4;;4
;;L1CAV136Z38;;0;0;0;0;0;0;0;0;;0
;;L1CAV236Z38;;99;0;0;18;0;27;1;0;;145
"LADIES CLASSIC EARTH 36, 39, OCHRE";;L1CA36Z39;;0;0;0;0;0;0;0;17;;17
;;L1CAV136Z39;;0;0;0;0;0;0;0;0;;0
;;L1CAV236Z39;;132;10;0;24;0;36;0;1;;203
"LADIES CLASSIC EARTH 36, 40, OCHRE";;L1CA36Z40;;0;0;0;0;0;0;0;11;;11
;;L1CAV136Z40;;0;0;0;0;0;0;0;0;;0
;;L1CAV236Z40;;66;0;0;11;0;18;0;0;;95
"LADIES CLASSIC EARTH 36, 41, OCHRE";;L1CA36Z41;;0;0;0;0;0;0;1;1;;2
;;L1CAV136Z41;;0;0;0;0;0;0;0;0;;0
;;L1CAV236Z41;;33;0;0;6;0;9;0;0;;48
"LADIES CLASSIC METALIC 05, 36, TEAL GREEN";;L1CM05Z36;;0;0;0;1;0;0;0;1;;2
;;L1CMV105Z36;;0;0;0;0;0;0;0;0;;0
;;L1CMV205Z36;;91;0;0;7;0;1;0;1;;100
"LADIES CLASSIC METALIC 05, 37, TEAL GREEN";;L1CM05Z37;;0;0;0;0;0;0;0;3;;3
;;L1CMV105Z37;;0;0;0;1;0;0;0;0;;1
;;L1CMV205Z37;;91;0;0;5;0;1;0;0;;97
"LADIES CLASSIC METALIC 05, 38, TEAL GREEN";;L1CM05Z38;;0;0;0;1;0;0;4;6;;11
;;L1CMV105Z38;;0;0;0;3;0;0;0;2;;5
;;L1CMV205Z38;;273;0;0;21;0;3;0;1;;298
"LADIES CLASSIC METALIC 05, 39, TEAL GREEN";;L1CM05Z39;;0;0;0;1;0;0;4;3;;8
;;L1CMV105Z39;;0;0;0;5;0;0;0;10;;15
;;L1CMV205Z39;;364;11;0;27;0;4;0;1;;407
"LADIES CLASSIC METALIC 05, 40, TEAL GREEN";;L1CM05Z40;;0;0;0;0;0;0;1;2;;3
;;L1CMV105Z40;;0;0;0;1;0;0;0;0;;1
;;L1CMV205Z40;;182;0;0;12;0;2;0;1;;197
"LADIES CLASSIC METALIC 05, 41, TEAL GREEN";;L1CM05Z41;;0;0;0;0;0;0;0;1;;1
;;L1CMV105Z41;;0;0;0;1;0;0;0;0;;1
;;L1CMV205Z41;;91;0;0;5;0;1;0;0;;97
"LADIES CLASSIC METALIC 1, 36, BLACK GOLD";;L1CMV101Z36;;0;0;0;0;0;0;2;0;;2
;;L1CMV201Z36;;58;0;0;2;0;0;0;0;;60
"LADIES CLASSIC METALIC 1, 36, BLACK0GOLD";;L1CM01Z36;;0;0;0;0;0;0;0;0;;0
"LADIES CLASSIC METALIC 1, 37, BLACK GOLD";;L1CMV101Z37;;0;0;0;1;0;0;2;0;;3
;;L1CMV201Z37;;58;0;0;2;0;0;0;0;;60
"LADIES CLASSIC METALIC 1, 38, BLACK GOLD";;L1CMV101Z38;;0;0;0;3;0;0;8;1;;12
;;L1CMV201Z38;;174;10;0;6;0;0;0;1;;191
"LADIES CLASSIC METALIC 1, 38, BLACK0GOLD";;L1CM01Z38;;0;0;0;0;0;0;12;2;;14
"LADIES CLASSIC METALIC 1, 39, BLACK GOLD";;L1CMV101Z39;;0;2;0;4;0;0;9;3;;18
;;L1CMV201Z39;;232;36;0;8;0;0;0;1;;277
"LADIES CLASSIC METALIC 1, 40, BLACK GOLD";;L1CMV101Z40;;0;0;0;1;0;0;2;0;;3
;;L1CMV201Z40;;116;0;0;4;0;0;0;0;;120
"LADIES CLASSIC METALIC 1, 40, BLACK0GOLD";;L1CM01Z40;;0;0;0;0;0;0;3;0;;3
"LADIES CLASSIC METALIC 1, 41, BLACK GOLD";;L1CMV101Z41;;0;0;0;1;0;0;2;1;;4
;;L1CMV201Z41;;58;0;0;2;0;0;0;0;;60
"LADIES CLASSIC METALIC 1, 41, BLACK0GOLD";;L1CM01Z41;;0;0;0;0;0;0;2;0;;2
"LADIES CLASSIC METALIC 2, 36, BLEACH SAND";;L1CM02Z36;;0;0;0;0;0;0;1;3;;4
;;L1CMV102Z36;;0;0;0;0;0;0;0;0;;0
;;L1CMV202Z36;;71;0;0;4;0;8;0;0;;83
"LADIES CLASSIC METALIC 2, 37, BLEACH SAND";;L1CM02Z37;;0;0;0;1;0;0;1;2;;4
;;L1CMV102Z37;;0;0;0;0;0;0;0;0;;0
;;L1CMV202Z37;;71;0;0;4;0;8;0;0;;83
"LADIES CLASSIC METALIC 2, 38, BLEACH SAND";;L1CM02Z38;;0;0;0;0;0;0;24;7;;31
;;L1CMV102Z38;;0;0;0;0;0;0;1;2;;3
;;L1CMV202Z38;;213;0;0;12;0;24;-1;0;;248
"LADIES CLASSIC METALIC 2, 39, BLEACH SAND";;L1CM02Z39;;0;0;0;1;0;0;14;3;;18
;;L1CMV102Z39;;0;5;0;0;0;0;0;4;;9
;;L1CMV202Z39;;284;15;0;16;0;32;0;0;;347
"LADIES CLASSIC METALIC 2, 40, BLEACH SAND";;L1CM02Z40;;0;0;0;0;0;0;0;0;;0
;;L1CMV102Z40;;0;0;0;0;0;0;0;1;;1
;;L1CMV202Z40;;142;0;0;8;0;16;0;0;;166
"LADIES CLASSIC METALIC 2, 41, BLEACH SAND";;L1CM02Z41;;0;0;0;0;0;0;0;1;;1
;;L1CMV102Z41;;0;0;0;0;0;0;0;0;;0
;;L1CMV202Z41;;71;0;0;4;0;8;0;0;;83
"LADIES CLASSIC METALIC 3, 36, BALLET ROSE";;L1CM03Z36;;0;0;0;0;0;0;0;2;;2
;;L1CMV103Z36;;0;0;0;2;0;0;0;0;;2
;;L1CMV203Z36;;0;0;0;3;0;0;0;0;;3
"LADIES CLASSIC METALIC 3, 37, BALLET ROSE";;L1CM03Z37;;0;0;0;0;0;0;1;4;;5
;;L1CMV103Z37;;0;0;0;2;0;0;0;0;;2
;;L1CMV203Z37;;0;0;0;3;0;0;0;1;;4
"LADIES CLASSIC METALIC 3, 38, BALLET ROSE";;L1CM03Z38;;0;2;0;0;0;0;14;21;;37
;;L1CMV103Z38;;0;0;0;7;0;0;1;0;;8
;;L1CMV203Z38;;0;0;0;9;0;0;3;2;;14
"LADIES CLASSIC METALIC 3, 39, BALLET ROSE";;L1CM03Z39;;0;4;0;4;0;0;14;26;;48
;;L1CMV103Z39;;0;1;0;12;0;0;3;1;;17
;;L1CMV203Z39;;0;19;0;12;0;0;4;3;;38
"LADIES CLASSIC METALIC 3, 40, BALLET ROSE";;L1CM03Z40;;0;0;0;0;0;0;4;5;;9
;;L1CMV103Z40;;0;0;0;5;0;0;0;0;;5
;;L1CMV203Z40;;0;0;0;6;0;0;2;1;;9
"LADIES CLASSIC METALIC 3, 41, BALLET ROSE";;L1CM03Z41;;0;0;0;0;0;0;1;3;;4
;;L1CMV103Z41;;0;0;0;2;0;0;0;0;;2
;;L1CMV203Z41;;0;0;0;3;0;0;1;0;;4
"LADIES CLASSIC METALIC 4, 36, GINGER SNAP";;L1CM04Z36;;0;0;0;0;0;0;0;0;;0
;;L1CMV104Z36;;0;0;0;1;0;0;0;1;;2
