DATABASE KODE SKU,,3,4,5,6,7,8,9,10,11
,,,,,,,,,,
Kode Variant(*),Kode(*),Japit Fashion,Nama Barang,Nama Variant(*),Ukuran(*),Tier,Gender,Seri,Series,Version
BB1CL02Z23,BB1CL02,Jepit,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,"BABY BOYS COLLAB 2, 23, DISNEY MICKEY & FRIENDS BLUE",23,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF02Z23,Z1MF02,Jepit,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,"BABY BOYS COLLAB 2, 23, DISNEY MICKEY & FRIENDS BLUE",23,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF02Z24,Z1MF02,Jepit,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,"BABY BOYS COLLAB 2, 24, DISNEY MICKEY & FRIENDS BLUE",24,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL02Z24,BB1CL02,Jepit,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,"BABY BOYS COLLAB 2, 24, DISNEY MICKEY & FRIENDS BLUE",24,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL02Z25,BB1CL02,Jepit,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,"BABY BOYS COLLAB 2, 25, DISNEY MICKEY & FRIENDS BLUE",25,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF02Z25,Z1MF02,Jepit,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,"BABY BOYS COLLAB 2, 25, DISNEY MICKEY & FRIENDS BLUE",25,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF03Z21,Z1MF03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 21, DISNEY MICKEY & FRIENDS BROWN",21,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL03Z21,BB1CL03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 21, DISNEY MICKEY & FRIENDS BROWN",21,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
Z1MF03Z22,Z1MF03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 22, DISNEY MICKEY & FRIENDS BROWN",22,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
BB1CL03Z22,BB1CL03,Jepit,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,"BABY BOYS COLLAB 3, 22, DISNEY MICKEY & FRIENDS BROWN",22,2,BABY,MICKEY & FRIENDS,MICKEY & FRIENDS,V1
