;;CV MAKMUR BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : Kantor Pusat, Baby, Bali Area, Jakarta, Jawa Timur, Lombok NTT, NTT, Online, Papua, Gudang : Warehouse Jakarta, Ware ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protolan;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"BABY BOYS TOY STORY 2, 25/26, BLUE";;;Z2TS02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 3, 21/22, GREEN";;;Z2TS03Z22;"-20,";"0,";"-24,";"-92,";"0,";"-136,";
;;;Total Kode Barang;"-20,";"0,";"-24,";"-92,";"0,";"-136,";
"BABY BOYS TOY STORY 3, 23/24, GREEN";;;Z2TS03Z24;"-25,";"0,";"-30,";"-115,";"0,";"-170,";
;;;Total Kode Barang;"-25,";"0,";"-30,";"-115,";"0,";"-170,";
"BABY BOYS TOY STORY 3, 25/26, GREEN";;;Z2TS03Z26;"-15,";"0,";"-18,";"-69,";"0,";"-102,";
;;;Total Kode Barang;"-15,";"0,";"-18,";"-69,";"0,";"-102,";
"BABY CLASSIC 4, 21/22, NAVY";;;Z2CAV104Z22;"0,";"-7,";"-53,";"160,";"0,";"100,";
;;;Total Kode Barang;"0,";"-7,";"-53,";"160,";"0,";"100,";
"BABY CLASSIC 4, 23/24, NAVY";;;Z2CAV104Z24;"0,";"-23,";"-75,";"200,";"0,";"102,";
;;;Total Kode Barang;"0,";"-23,";"-75,";"200,";"0,";"102,";
"BABY CLASSIC 4, 25/26, NAVY";;;Z2CAV104Z26;"0,";"-4,";"-39,";"120,";"0,";"77,";
;;;Total Kode Barang;"0,";"-4,";"-39,";"120,";"0,";"77,";
"BABY CLASSIC 5, 21/22, COFFEE";;;Z2CA05Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV105Z22;"-20,";"0,";"-48,";"-124,";"0,";"-192,";
;;;Total Kode Barang;"-20,";"0,";"-48,";"-124,";"0,";"-192,";
"BABY CLASSIC 5, 23/24, COFFEE";;;Z2CA05Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV105Z24;"-25,";"0,";"-60,";"-155,";"0,";"-240,";
;;;Total Kode Barang;"-25,";"0,";"-60,";"-155,";"0,";"-240,";
"BABY CLASSIC 5, 25/26, COFFEE";;;Z2CAV105Z26;"-15,";"0,";"-36,";"-93,";"0,";"-144,";
;;;Total Kode Barang;"-15,";"0,";"-36,";"-93,";"0,";"-144,";
"BABY CLASSIC 6, 21/22, GREY";;;Z2CA06Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV106Z22;"0,";"-4,";"-12,";"0,";"0,";"-16,";
;;;Total Kode Barang;"0,";"-4,";"-12,";"0,";"0,";"-16,";
"BABY CLASSIC 6, 23/24, GREY";;;Z2CA06Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV106Z24;"0,";"-4,";"-15,";"0,";"0,";"-19,";
;;;Total Kode Barang;"0,";"-4,";"-15,";"0,";"0,";"-19,";
"BABY CLASSIC 6, 25/26, GREY";;;Z2CAV106Z26;"0,";"0,";"-9,";"0,";"0,";"-9,";
;;;Total Kode Barang;"0,";"0,";"-9,";"0,";"0,";"-9,";
"BABY CLASSIC 7, 21/22, HONEY GINGER";;;Z2CAV107Z22;"0,";"-2,";"-8,";"0,";"0,";"-10,";
;;;Total Kode Barang;"0,";"-2,";"-8,";"0,";"0,";"-10,";
"BABY CLASSIC 7, 23/24, HONEY GINGER";;;Z2CAV107Z24;"0,";"-8,";"-10,";"0,";"0,";"-18,";
;;;Total Kode Barang;"0,";"-8,";"-10,";"0,";"0,";"-18,";
"BABY CLASSIC 7, 25/26, HONEY GINGER";;;Z2CAV107Z26;"0,";"0,";"-6,";"0,";"0,";"-6,";
;;;Total Kode Barang;"0,";"0,";"-6,";"0,";"0,";"-6,";
"BABY CLASSIC 8, 21/22, NUDE";;;Z2CA08Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV108Z22;"-16,";"0,";"-8,";"0,";"0,";"-24,";
;;;Total Kode Barang;"-16,";"0,";"-8,";"0,";"0,";"-24,";
"BABY CLASSIC 8, 23/24, NUDE";;;Z2CA08Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV108Z24;"-20,";"0,";"-10,";"0,";"0,";"-30,";
;;;Total Kode Barang;"-20,";"0,";"-10,";"0,";"0,";"-30,";
"BABY CLASSIC 8, 25/26, NUDE";;;Z2CA08Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV108Z26;"-12,";"0,";"-6,";"0,";"0,";"-18,";
