;;CV MAKMUR BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : Kantor Pusat, Baby, Bali Area, Jakarta, Jawa Timur, Lombok NTT, NTT, Online, Papua, Gudang : Warehouse Jakarta, Ware ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protolan;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"BABY GIRLS PRINCESS SNOW WHITE 1, 23/24, RED";;;Z2PS01Z24;"0,";"-5,";"0,";"0,";"0,";"-5,";
;;;Total Kode Barang;"0,";"-5,";"0,";"0,";"0,";"-5,";
"BABY GIRLS PRINCESS SNOW WHITE 1, 25/26, RED";;;Z2PS01Z26;"0,";"-1,";"0,";"0,";"0,";"-1,";
;;;Total Kode Barang;"0,";"-1,";"0,";"0,";"0,";"-1,";
"BABY LOTSO 1, 21/22, PINK BERRY";;;Z2LS01Z22;"0,";"-4,";"-6,";"332,";"0,";"322,";
;;;Total Kode Barang;"0,";"-4,";"-6,";"332,";"0,";"322,";
"BABY LOTSO 1, 23/24, PINK BERRY";;;Z2LS01Z24;"0,";"-4,";"-5,";"415,";"0,";"406,";
;;;Total Kode Barang;"0,";"-4,";"-5,";"415,";"0,";"406,";
"BABY LOTSO 1, 25/26, PINK BERRY";;;Z2LS01Z26;"0,";"-1,";"-3,";"249,";"0,";"245,";
;;;Total Kode Barang;"0,";"-1,";"-3,";"249,";"0,";"245,";
"BABY POOH 1, 21/22, MOCHA";;;Z2PH01Z22;"0,";"0,";"-8,";"-4,";"0,";"-12,";
;;;Total Kode Barang;"0,";"0,";"-8,";"-4,";"0,";"-12,";
"BABY POOH 1, 23/24, MOCHA";;;Z2PH01Z24;"0,";"0,";"-10,";"-5,";"0,";"-15,";
;;;Total Kode Barang;"0,";"0,";"-10,";"-5,";"0,";"-15,";
"BABY POOH 1, 25/26, MOCHA";;;Z2PH01Z26;"0,";"0,";"-6,";"-3,";"0,";"-9,";
;;;Total Kode Barang;"0,";"0,";"-6,";"-3,";"0,";"-9,";
"BABY POOH 2, 21/22, SOFT PINK";;;Z2PH02Z22;"0,";"-4,";"-4,";"0,";"0,";"-8,";
;;;Total Kode Barang;"0,";"-4,";"-4,";"0,";"0,";"-8,";
"BABY POOH 2, 23/24, SOFT PINK";;;Z2PH02Z24;"0,";"-5,";"-5,";"0,";"0,";"-10,";
;;;Total Kode Barang;"0,";"-5,";"-5,";"0,";"0,";"-10,";
"BABY POOH 2, 25/26, SOFT PINK";;;Z2PH02Z26;"0,";"-3,";"-3,";"0,";"0,";"-6,";
;;;Total Kode Barang;"0,";"-3,";"-3,";"0,";"0,";"-6,";
"BABY POOH 3, 21/22, ORANGE BEIGE";;;Z2PH03Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY POOH 3, 23/24, ORANGE BEIGE";;;Z2PH03Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY POOH 3, 25/26, ORANGE BEIGE";;;Z2PH03Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 23, BLUE NAVY";;;BB3BZ23CL3;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 23/24, BLUE NAVY";;;Z2WB01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 24, BLUE NAVY";;;BB3BZ24CL3;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 25, BLUE NAVY";;;BB3BZ25CL3;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 25/26, BLUE NAVY";;;Z2WB01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 2, 21/22, GREY NAVY";;;Z2WB02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 2, 23/24, GREY NAVY";;;Z2WB02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 2, 25/26, GREY NAVY";;;Z2WB02Z25;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY VELCRO BRICKS 1, 21/22, ALL BLACK";;;Z2VB01Z22;"0,";"0,";"-32,";"0,";"0,";"-32,";
;;;Total Kode Barang;"0,";"0,";"-32,";"0,";"0,";"-32,";
"BABY VELCRO BRICKS 1, 23/24, ALL BLACK";;;Z2VB01Z24;"0,";"0,";"-40,";"0,";"0,";"-40,";
;;;Total Kode Barang;"0,";"0,";"-40,";"0,";"0,";"-40,";
"BABY VELCRO BRICKS 1, 25/26, ALL BLACK";;;Z2VB01Z26;"0,";"0,";"-24,";"0,";"0,";"-24,";
;;;Total Kode Barang;"0,";"0,";"-24,";"0,";"0,";"-24,";
"BABY VELCRO BRICKS 2, 21/22, COCOA";;;Z2VB02Z22;"-12,";"-2,";"-20,";"-144,";"0,";"-178,";
;;;Total Kode Barang;"-12,";"-2,";"-20,";"-144,";"0,";"-178,";
"BABY VELCRO BRICKS 2, 23/24, COCOA";;;Z2VB02Z24;"-15,";"-8,";"-25,";"-165,";"0,";"-213,";
;;;Total Kode Barang;"-15,";"-8,";"-25,";"-165,";"0,";"-213,";
"BABY VELCRO BRICKS 2, 25/26, COCOA";;;Z2VB02Z26;"-9,";"0,";"-15,";"-63,";"0,";"-87,";
;;;Total Kode Barang;"-9,";"0,";"-15,";"-63,";"0,";"-87,";
"BABY VELCRO BRICKS 3, 21/22, GREY";;;Z2VB03Z22;"0,";"-2,";"-56,";"-12,";"0,";"-70,";
;;;Total Kode Barang;"0,";"-2,";"-56,";"-12,";"0,";"-70,";
"BABY VELCRO BRICKS 3, 23/24, GREY";;;Z2VB03Z24;"0,";"-2,";"-70,";"-15,";"0,";"-87,";
;;;Total Kode Barang;"0,";"-2,";"-70,";"-15,";"0,";"-87,";
"BABY VELCRO BRICKS 3, 25/26, GREY";;;Z2VB03Z26;"0,";"0,";"-42,";"-9,";"0,";"-51,";
;;;Total Kode Barang;"0,";"0,";"-42,";"-9,";"0,";"-51,";
"BABY VELCRO BRICKS 4, 21/22, CORAL";;;Z2VB04Z22;"-48,";"0,";"-32,";"-116,";"0,";"-196,";
;;;Total Kode Barang;"-48,";"0,";"-32,";"-116,";"0,";"-196,";
"BABY VELCRO BRICKS 4, 23/24, CORAL";;;Z2VB04Z24;"-60,";"0,";"-40,";"-145,";"0,";"-245,";
;;;Total Kode Barang;"-60,";"0,";"-40,";"-145,";"0,";"-245,";
"BABY VELCRO BRICKS 4, 25/26, CORAL";;;Z2VB04Z26;"-36,";"0,";"-24,";"-87,";"0,";"-147,";
;;;Total Kode Barang;"-36,";"0,";"-24,";"-87,";"0,";"-147,";
"BABY VELCRO BRICKS 5, 21/22, OAT PINK";;;Z2VB05Z22;"-4,";"0,";"-16,";"0,";"0,";"-20,";
;;;Total Kode Barang;"-4,";"0,";"-16,";"0,";"0,";"-20,";
"BABY VELCRO BRICKS 5, 23/24, OAT PINK";;;Z2VB05Z24;"-5,";"0,";"-20,";"0,";"0,";"-25,";
;;;Total Kode Barang;"-5,";"0,";"-20,";"0,";"0,";"-25,";
"BABY VELCRO BRICKS 5, 25/26, OAT PINK";;;Z2VB05Z26;"-3,";"0,";"-12,";"0,";"0,";"-15,";
;;;Total Kode Barang;"-3,";"0,";"-12,";"0,";"0,";"-15,";
"BABY VELCRO BRICKS 6, 21/22, SAGE";;;Z2VB06Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY VELCRO BRICKS 6, 23/24, SAGE";;;Z2VB06Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY VELCRO BRICKS 6, 25/26, SAGE";;;Z2VB06Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY VELCRO STITCH 1, 21/22, NAVY";;;Z2VS01Z22;"0,";"-5,";"-12,";"0,";"0,";"-17,";
;;;Total Kode Barang;"0,";"-5,";"-12,";"0,";"0,";"-17,";
"BABY VELCRO STITCH 1, 23/24, NAVY";;;Z2VS01Z24;"0,";"-10,";"-15,";"0,";"0,";"-25,";
;;;Total Kode Barang;"0,";"-10,";"-15,";"0,";"0,";"-25,";
"BABY VELCRO STITCH 1, 25/26, NAVY";;;Z2VS01Z26;"0,";"-1,";"-9,";"0,";"0,";"-10,";
;;;Total Kode Barang;"0,";"-1,";"-9,";"0,";"0,";"-10,";
"BABY VELCRO STITCH 2, 21/22, PINK";;;Z2VS02Z22;"-12,";"-6,";"-12,";"-32,";"0,";"-62,";
;;;Total Kode Barang;"-12,";"-6,";"-12,";"-32,";"0,";"-62,";
"BABY VELCRO STITCH 2, 23/24, PINK";;;Z2VS02Z24;"-15,";"-7,";"-13,";"-40,";"0,";"-75,";
;;;Total Kode Barang;"-15,";"-7,";"-13,";"-40,";"0,";"-75,";
"BABY VELCRO STITCH 2, 25/26, PINK";;;Z2VS02Z26;"-9,";"-4,";"-11,";"-24,";"0,";"-48,";
;;;Total Kode Barang;"-9,";"-4,";"-11,";"-24,";"0,";"-48,";
"BABY WE BARE BEARS 3, 18/19, BROWN";;;Z2WB03Z19;"-39,";"0,";"-6,";"-93,";"0,";"-138,";
;;;Total Kode Barang;"-39,";"0,";"-6,";"-93,";"0,";"-138,";
"BABY WE BARE BEARS 3, 20/21, BROWN";;;Z2WB03Z21;"-39,";"-1,";"-6,";"-93,";"0,";"-139,";
;;;Total Kode Barang;"-39,";"-1,";"-6,";"-93,";"0,";"-139,";
"BABY WE BARE BEARS 3, 22/23, BROWN";;;Z2WB03Z23;"-39,";"0,";"-6,";"-93,";"0,";"-138,";
;;;Total Kode Barang;"-39,";"0,";"-6,";"-93,";"0,";"-138,";
"BABY WE BARE BEARS 3, 24/25, BROWN";;;Z2WB03Z25;"-39,";"0,";"-6,";"-93,";"0,";"-138,";
;;;Total Kode Barang;"-39,";"0,";"-6,";"-93,";"0,";"-138,";
"BABY WE BARE BEARS 4, 18/19, GREY";;;Z2WB04Z19;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
;;;Total Kode Barang;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
"BABY WE BARE BEARS 4, 20/21, GREY";;;Z2WB04Z21;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
;;;Total Kode Barang;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
"BABY WE BARE BEARS 4, 22/23, GREY";;;Z2WB04Z23;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
;;;Total Kode Barang;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
"BABY WE BARE BEARS 4, 24/25, GREY";;;Z2WB04Z25;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
;;;Total Kode Barang;"-27,";"0,";"-3,";"-66,";"0,";"-96,";
"BABY WE BARE BEARS 5, 18/19, WHITE";;;Z2WB05Z19;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
;;;Total Kode Barang;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
"BABY WE BARE BEARS 5, 20/21, WHITE";;;Z2WB05Z21;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
;;;Total Kode Barang;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
"BABY WE BARE BEARS 5, 22/23, WHITE";;;Z2WB05Z23;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
;;;Total Kode Barang;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
"BABY WE BARE BEARS 5, 24/25, WHITE";;;Z2WB05Z25;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
;;;Total Kode Barang;"-3,";"-1,";"-3,";"-3,";"0,";"-10,";
"BOYS CLASSIC 1, 27/28, BLACK";;;B2CAV201Z28;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV301Z28;"0,";"0,";"0,";"-2,";"0,";"-2,";
;;;Total Kode Barang;"0,";"0,";"0,";"-2,";"0,";"-2,";
"BOYS CLASSIC 1, 29/30, BLACK";;;B2CA01Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV201Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV301Z30;"0,";"0,";"0,";"-3,";"0,";"-3,";
;;;Total Kode Barang;"0,";"0,";"0,";"-3,";"0,";"-3,";
"BOYS CLASSIC 1, 31/32, BLACK";;;B2CA01Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV201Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV301Z32;"0,";"0,";"0,";"-5,";"0,";"-5,";
;;;Total Kode Barang;"0,";"0,";"0,";"-5,";"0,";"-5,";
"BOYS CLASSIC 1, 33/34, BLACK";;;B2CA01Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV201Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV301Z34;"0,";"0,";"0,";"-2,";"0,";"-2,";
;;;Total Kode Barang;"0,";"0,";"0,";"-2,";"0,";"-2,";
"BOYS CLASSIC 2, 27/28, NAVY";;;B2CAV302Z28;"0,";"0,";"-4,";"-2,";"0,";"-6,";
;;;Total Kode Barang;"0,";"0,";"-4,";"-2,";"0,";"-6,";
"BOYS CLASSIC 2, 29/30, NAVY";;;B2CA02Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV202Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV302Z30;"0,";"0,";"-6,";"-3,";"0,";"-9,";
;;;Total Kode Barang;"0,";"0,";"-6,";"-3,";"0,";"-9,";
"BOYS CLASSIC 2, 31/32, NAVY";;;B2CA02Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV202Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV302Z32;"0,";"0,";"-10,";"-5,";"0,";"-15,";
;;;Total Kode Barang;"0,";"0,";"-10,";"-5,";"0,";"-15,";
"BOYS CLASSIC 2, 33/34, NAVY";;;B2CA02Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV202Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV302Z34;"0,";"0,";"-4,";"-2,";"0,";"-6,";
;;;Total Kode Barang;"0,";"0,";"-4,";"-2,";"0,";"-6,";
"BOYS CLASSIC 3, 27/28, ARMY";;;B2CAV303Z28;"0,";"0,";"-2,";"-10,";"0,";"-12,";
;;;Total Kode Barang;"0,";"0,";"-2,";"-10,";"0,";"-12,";
"BOYS CLASSIC 3, 29/30, ARMY";;;B2CA03Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV303Z30;"0,";"0,";"-3,";"-15,";"0,";"-18,";
;;;Total Kode Barang;"0,";"0,";"-3,";"-15,";"0,";"-18,";
"BOYS CLASSIC 3, 31/32, ARMY";;;B2CA03Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV303Z32;"0,";"0,";"-5,";"-25,";"0,";"-30,";
;;;Total Kode Barang;"0,";"0,";"-5,";"-25,";"0,";"-30,";
"BOYS CLASSIC 3, 33/34, ARMY";;;B2CA03Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV303Z34;"0,";"0,";"-2,";"-10,";"0,";"-12,";
;;;Total Kode Barang;"0,";"0,";"-2,";"-10,";"0,";"-12,";
"BOYS CLASSIC 4, 27/28, BLACK TURQUOISE";;;B2CAV204Z28;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV304Z28;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 4, 29/30, BLACK TURQUOISE";;;B2CAV204Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV304Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 4, 31/32, BLACK TURQUOISE";;;B2CAV204Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV304Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 4, 33/34, BLACK TURQUOISE";;;B2CAV204Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV304Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 5, 27/28, NAVY GREY";;;B2CAV205Z28;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV305Z28;"0,";"0,";"0,";"-6,";"0,";"-6,";
;;;Total Kode Barang;"0,";"0,";"0,";"-6,";"0,";"-6,";
"BOYS CLASSIC 5, 29/30, NAVY GREY";;;B2CAV205Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV305Z30;"0,";"0,";"0,";"-9,";"0,";"-9,";
;;;Total Kode Barang;"0,";"0,";"0,";"-9,";"0,";"-9,";
"BOYS CLASSIC 5, 31/32, NAVY GREY";;;B2CAV205Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV305Z32;"0,";"0,";"0,";"-15,";"0,";"-15,";
;;;Total Kode Barang;"0,";"0,";"0,";"-15,";"0,";"-15,";
"BOYS CLASSIC 5, 33/34, NAVY GREY";;;B2CAV205Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV305Z34;"0,";"0,";"0,";"-6,";"0,";"-6,";
;;;Total Kode Barang;"0,";"0,";"0,";"-6,";"0,";"-6,";
"BOYS CLASSIC 6, 27/28, GREY LIME";;;B2CAV206Z28;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV306Z28;"0,";"0,";"-1,";"0,";"0,";"-1,";
;;;Total Kode Barang;"0,";"0,";"-1,";"0,";"0,";"-1,";
"BOYS CLASSIC 6, 29/30, GREY LIME";;;B2CAV206Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV306Z30;"0,";"0,";"1,";"0,";"0,";"1,";
;;;Total Kode Barang;"0,";"0,";"1,";"0,";"0,";"1,";
"BOYS CLASSIC 6, 31/32, GREY LIME";;;B2CAV206Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV306Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 6, 33/34, GREY LIME";;;B2CAV206Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV306Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS DISNEY DOVER 1, 27/28, BLACK";;;B2DV01Z28;"-20,";"0,";"-4,";"-44,";"0,";"-68,";
;;;Total Kode Barang;"-20,";"0,";"-4,";"-44,";"0,";"-68,";
"BOYS DISNEY DOVER 1, 29/30, BLACK";;;B2DV01Z30;"-20,";"0,";"-4,";"-44,";"0,";"-68,";
;;;Total Kode Barang;"-20,";"0,";"-4,";"-44,";"0,";"-68,";
"BOYS DISNEY DOVER 1, 31/32, BLACK";;;B2DV01Z32;"-10,";"0,";"-2,";"-22,";"0,";"-34,";
;;;Total Kode Barang;"-10,";"0,";"-2,";"-22,";"0,";"-34,";
"BOYS DISNEY DOVER 1, 33/34, BLACK";;;B2DV01Z34;"-10,";"0,";"-2,";"-22,";"0,";"-34,";
;;;Total Kode Barang;"-10,";"0,";"-2,";"-22,";"0,";"-34,";
"BOYS MICKEY MOUSE 1, 29/30, BLACK";;;B2MMV101Z30;"-10,";"0,";"0,";"0,";"0,";"-10,";
;;;Total Kode Barang;"-10,";"0,";"0,";"0,";"0,";"-10,";
"BOYS MICKEY MOUSE 1, 31/32, BLACK";;;B2MMV101Z32;"-10,";"0,";"0,";"0,";"0,";"-10,";
;;;Total Kode Barang;"-10,";"0,";"0,";"0,";"0,";"-10,";
"BOYS MICKEY MOUSE 1, 33/34, BLACK";;;B2MMV101Z34;"-4,";"0,";"0,";"0,";"0,";"-4,";
;;;Total Kode Barang;"-4,";"0,";"0,";"0,";"0,";"-4,";
"BOYS MICKEY MOUSE 2, 29/30, MOCHA";;;B2MMV102Z30;"-15,";"0,";"0,";"0,";"0,";"-15,";
;;;Total Kode Barang;"-15,";"0,";"0,";"0,";"0,";"-15,";
"BOYS MICKEY MOUSE 2, 31/32, MOCHA";;;B2MMV102Z32;"-15,";"0,";"0,";"0,";"0,";"-15,";
;;;Total Kode Barang;"-15,";"0,";"0,";"0,";"0,";"-15,";
"BOYS MICKEY MOUSE 2, 33/34, MOCHA";;;B2MMV102Z34;"-6,";"0,";"0,";"0,";"0,";"-6,";
;;;Total Kode Barang;"-6,";"0,";"0,";"0,";"0,";"-6,";
"BOYS MICKEY MOUSE 3, 29/30, BLUE";;;B2MMV103Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS MICKEY MOUSE 3, 31/32, BLUE";;;B2MMV103Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS MICKEY MOUSE 3, 33/34, BLUE";;;B2MMV103Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS ONYX 1, 34, BLACK BLACK";;;B1ON01Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS ONYX 1, 37, BLACK BLACK";;;B1ON01Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS ONYX 2, 34, ARMY BLACK";;;B1ON02Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS ONYX 2, 35, ARMY BLACK";;;M1KZ35ON2;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS ONYX 2, 36, ARMY BLACK";;;B1ON02Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;M1KZ36ON2;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 1, 34, BLACK";;;B1SL01Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV101Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 1, 35, BLACK";;;B1SL01Z35;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV101Z35;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 1, 36, BLACK";;;B1SL01Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV101Z36;"0,";"-2,";"0,";"0,";"0,";"-2,";
;;;Total Kode Barang;"0,";"-2,";"0,";"0,";"0,";"-2,";
"BOYS SLIDE MAX 1, 37, BLACK";;;B1SL01Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV101Z37;"0,";"-4,";"0,";"0,";"0,";"-4,";
;;;Total Kode Barang;"0,";"-4,";"0,";"0,";"0,";"-4,";
"BOYS SLIDE MAX 1, 38, BLACK";;;B1SL01Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV101Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 2, 34, NAVY";;;B1SL02Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV102Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 2, 35, NAVY";;;B1SL02Z35;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV102Z35;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 2, 36, NAVY";;;B1SL02Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV102Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 2, 37, NAVY";;;B1SL02Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV102Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 2, 38, NAVY";;;B1SL02Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B1SLV102Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS SLIDE MAX 3, 34, ARMY";;;B1SL03Z34;"0,";"0,";"0,";"-2,";"0,";"-2,";
;;;B1SLV103Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"-2,";"0,";"-2,";
"BOYS SLIDE MAX 3, 35, ARMY";;;B1SL03Z35;"0,";"0,";"0,";"-2,";"0,";"-2,";
;;;B1SLV103Z35;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"-2,";"0,";"-2,";
"BOYS SLIDE MAX 3, 36, ARMY";;;B1SL03Z36;"0,";"0,";"0,";"-3,";"0,";"-3,";
;;;B1SLV103Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"-3,";"0,";"-3,";
"BOYS SLIDE MAX 3, 37, ARMY";;;B1SL03Z37;"0,";"0,";"0,";"-3,";"0,";"-3,";
;;;B1SLV103Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"-3,";"0,";"-3,";
"BOYS SLIDE MAX 3, 38, ARMY";;;B1SL03Z38;"0,";"0,";"0,";"-2,";"0,";"-2,";
;;;B1SLV103Z38;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"-2,";"0,";"-2,";
"BOYS SLIDE SPIDER-MAN 2, 27, GREY";;;B1SM02Z27;"0,";"0,";"0,";"-10,";"0,";"-10,";
